userName,at,content,score
Sayang,2023-12-12 02:07:11,untuk metode pembayaran pembelian tiket mengunakan aplikasi DANA dan pihak BANK fitur nya adakan supaya memudahkan,1
Fauzan Syahla,2023-12-12 07:38:55,Gak bisa topup!!!!!!kalo cuman buat liat rute atau tarif mending ke krl aja itu mah,1
Dian Purnama,2023-12-12 11:04:24,Susah log in aplikasi nya huft,2
SAEPUL HIZAZ,2023-12-12 11:24:21,Mantaap KCI,5
firdaus setiawan,2023-12-13 01:39:01,"Setelah update makin gak bener nih app, malah gak bisa dibuka",1
Wahyu Stand,2023-12-13 04:05:21,Gak jelas lemot banget aplikasi nya,1
Siti K7706,2023-12-13 09:07:27,Coba dl,4
Agung Lusi,2023-12-13 10:16:43,jos,5
the youth pledge,2023-12-13 10:17:27,"lebih inovatif, luar biasa",5
Fandi Irfan Maulana,2023-12-13 10:40:22,"Memuaskan, semakin mempermudah pengguna",5
Riezz Zimmern,2023-12-13 10:49:10,Aplikasi sangat membantu,5
andy seno,2023-12-13 11:01:22,"sangat membantu bagi pengguna kereta commuter line, dan dapat mengisi ulang KMT di Hp",5
Adnan Fiqri,2023-12-13 11:09:21,sangat membantu naik krl dan jadwal nya good joob,5
Achmad Agustian Rosyadi,2023-12-13 13:25:56,"Inovasi yang perlu diterapkan dan dikembangkan, singkron gopaynyaa mohon segera di realiasikan",5
Gigih Prasetyo,2023-12-13 21:08:33,Mantab,5
Rusydan Alfin,2023-12-14 12:43:22,"Masih ada fitur-fitur yang belum optimal. Selebihnya lumayan, mudah digunakan, dan lebih baik daripada aplikasi KRL Access sebelumnya. Semoga terus diperbarui dan dioptimalkan lagi aplikasinya. Mantap!",4
Eko Setiyanto,2023-12-18 12:45:42,"Dah beberapa kali coba daftar blm bisa juga , "" ada sedikit masalah """,3
Adelz 14,2023-12-22 07:51:19,Massa mau isi ulang gk bisa padahal nfc gagal apk nya gitu terus,3
Husnul Khatib,2023-12-23 15:29:53,Tidak bisa melakukan top up kartu,1
Nyaik Mugiyati,2023-12-26 09:58:34,"Daftar akun kok bagian membuat password ditolak terus ya. Padahal sudah ada angka, huruf besar+kecil. Sebal",3
Ali Muhlisin,2023-12-29 20:51:54,Mudah di gunakan,5
Alviano Vian,2023-12-31 03:40:18,Percuma download tapi ga bisa di pakai tolong perbaiki lagi,1
Chandra Aditya,2023-12-31 04:00:36,"Ga bisa top up, jelek",1
Rafael Do Kaka,2023-12-31 15:42:50,"Bagaimana ini Commuter line id,saya liat jadwal kereta stasiun Klender katanya ada ke Manggarai jam 22.27 lah nyatanya Ampe jam 22.42 tidak ada,banyak kereta tidak ada sesuatu jadwal di stasiun langsung dengan di aplikasi tidak benar sekali ini kacaw👎👎👎",1
Siti Rohmah,2024-01-01 12:41:10,Gabisa cek saldo KMT sih,2
efri julianto,2024-01-01 14:12:39,Gak bisa daftar,1
Syamsul Harun,2024-01-02 06:17:17,"Sangat tidak rekomendasi, masa download mau login malah keluar sendiri aplikasi nya",1
Mohamad Richo Abdul Rozaq,2024-01-03 03:10:42,"Scannya susah kebaca,gk tau masalah dri sistem/barcode/alat scannya yg kurang sensitif",2
Derry Irawan,2024-01-03 04:30:22,"Aplikasi gajelas , gua udah ngikutin jadwal di aplikasi pas di stasiun berubah , tujuan yang harusnya selang 1x malah berubah. Jangan suka-suka lu aja pada , kalo ga tepat mending hapus aja ini aplikasi . Gak guna",1
Sinshia ds,2024-01-05 12:57:37,"jelek, kadang bisa sering kaga bisa",1
Nadia,2024-01-06 08:01:54,"mau buka apk aja kaga bisa loading berjam jam ,heran yg bikin apk",1
Inno Putra,2024-01-06 12:33:43,"Kalo emang adanya aplikasi ini buat ngemudahin, harusnya metode pembayaran bukan cuma satu platform, sedianin juga dari bank-bank lain, trs isi saldo scanning nya lama banget. Kalo mau bikin mbo yo sing niat sekalian, aplikasi pemerintah, kalah ama aplikasi ****",2
Rama A F,2024-01-07 05:01:04,"Katanya bakal update tapi kok fiturnya gitu-gitu aja?! Dan kenapa kalo mau akses aplikasi harus memakan kuota lebih, dipaksa harus lancar. Rusak..",1
vandra putra,2024-01-08 03:59:27,ok,3
Alisha Khaira wilda,2024-01-10 11:42:00,Good job,5
Khoerul Bakri,2024-01-14 11:29:32,Tolong perbaiki lagi soal nya mau pesen tiket eror mulu padahal jaringan bagus,3
vidi krishna,2024-01-14 23:01:11,"Aplikasi sampah, top up kaga masuk2. Nanya ke cs nya slow respon.",1
Faiz Nizam,2024-01-15 09:27:14,Apk ga jelas,1
Saepul Hikam,2024-01-15 10:34:59,Apk nya malah stak di logo gamau masuk apk gimana si ini,1
Dau Maj,2024-01-16 01:46:23,Sangat membantu untuk tahu jadwal dan tujuan perjalanan CL,5
Ade Soleh,2024-01-16 13:36:56,Ko malah kaga bisa di buka,3
Aulia Yusup,2024-01-17 07:59:12,Aplikasi nya TDK bisa kebuka,1
Syahira Anjani Putri,2024-01-17 11:11:05,"Lemot kali, seumur2 baru ini punya apps tp selama ini hadeuh. Gabisa kebuka",1
Yuanita Rahmawati,2024-01-18 07:34:55,"gak bisa masuk, selalu ada kendala.. tolong perbaiki lah.. kami juga butuh jadwal+posisi keretanya..",1
Leo Teguh,2024-01-19 07:01:15,Error' mele,1
Masdi Masdidah,2024-01-19 11:08:27,Parah. Ga bisa dibuka aplikasinya. Lemot,1
Rian Cak,2024-01-20 06:16:53,Bagus,4
Mas Jawir,2024-01-21 14:52:03,"Login error terus, muncul notif ada kesalahan sedikit kaya gitu terus Dftar juga gk bisa dan sama saja",2
Abdul Aziz Ardiansyah,2024-01-21 14:55:20,Sudah bagus buat cek saldo Kartu trip KRL👍👍👍👍👍,5
Nano Aja,2024-01-22 09:07:50,Sangat membatu.....terimakasih.🙏,5
Bincar Halomoan,2024-01-23 04:33:49,"Lemot aplikasinya, mau top up KMT ga bisa-bisa",1
Jupri Almairaky,2024-01-23 05:46:13,Aplikasinya sangat bermanfaat. Saran. Mohon ditambah metode pembayarannya selain gopay ya Kak. Agar banyak pilihan lainnya.,5
Indra Wijaya,2024-01-24 00:20:46,Aplikasi gk jls,1
Almha Shintia,2024-01-24 08:16:17,malah ga bisa dibuka aplikasi nya padahal sinyal kuat Telkomsel. kan GOBLOKnya yg bikin aplikasi ini hp gue ram 8/256,1
Rahmat Abdullah,2024-01-24 23:13:06,Mantab aplikasinya,5
AA TOI,2024-01-25 01:37:20,atinggal verifikasi ajah lamamya minta ampun...,1
Dinda Mahdalena,2024-01-25 02:11:44,Lama bgt nunggu kode otp nya,2
Ibnu ihsan,2024-01-25 03:18:21,"Aplikasi ga jelas, udh coba download di 2 device hp masih aja ga bisa di buka aplikasinya.",1
Devi Rusmila,2024-01-25 05:43:12,"Mau masuk harus verifikasi email tapi verifikasinya lama masuknya, giliran mau dimasukin udah expired hadeh gimana mau masuk kalo gini",3
Adi Darmawan,2024-01-25 09:40:24,"Masa tiap mau diakses, gak bisa kebuka terus. Gimana mau liat jadwal",3
Akun Ku,2024-01-25 09:58:37,Performa jauh beda dengan versi sebelumnya,1
Ahmad Sofian,2024-01-25 10:03:06,"Lemot,, uninstal langsung",1
Tio Prasetya Putra,2024-01-26 09:31:44,"Aplikasi gila susah di buka nya , jangan bikin aplikasi kalo emg kaya begini",1
Sri Handayani,2024-01-26 09:47:31,Kok aplikasi jdi suka error ya padahal sebelum ini lancar aja tolong,2
jeongwoo lipaa,2024-01-29 13:52:08,"Tolong lebih dikembangkan lagi, setiap membuka aplikasi selalu ga kebuka, padahal sinyal baik.. Dan setiap buka di manggarai untuk cek selalu tidak bisa terbuka aplikasinya. Terimakasih 🙏🏻",5
Jajang Channel (Jajang Orock menes),2024-01-30 04:19:41,"Rute yg ada di aplikasi ini hanya Jabodetabek,knpa tidak keseluruhan,,,sangat sangat tidak membantu",1
Nuraini Rahayu,2024-01-31 05:39:24,gajelas bgtt top up saldo KMT udh kepotong gopay tapi ga masuk jugaa,1
toni g,2024-02-04 09:56:56,Hoy perbaiki. IT Bumn kok bodoh.,1
Rigas Saputra,2024-02-06 02:15:19,"Sangat bagus dan membantu memudahkan perjalanan kereta api jadi lebih praktis tidak perlu mengantri untuk pembayaran dan cek saldo di stasiun kereta api,, Untuk yang sering PP naik Kereta api Indonesia wajib banget download deh aplikasi nya khusus Yang Punya fitur NFC Ya HP kalian Dan kartu multifungsi lagi bisa di pake untuk transaksi MRT dan busway keren",5
Sri Yuliarsih,2024-02-06 05:13:22,Sangat membantu dalam waktu,5
Abudzar 2544,2024-02-06 10:16:25,"Jadwal kereta tidak real time , sangat sesat membuat perjalanan saya terganggu apalagi tertinggal ka lokal merak",1
Saiful Hamiwanto,2024-02-07 12:36:35,"Sebenarnya aplikasi ini sudah lumayan bagus karena informatif. Tapi sayangnya sering ngelag, terutama pada saat kita sedang di stasiun. Terutama sekali di stasiun Manggarai. Semoga segera diperbaiki.",2
Mailvin Pradana putra hermanto,2024-02-08 05:52:15,Buruk sekali jaringan lemot gangguan mulu,1
Mitha Safitrii,2024-02-08 13:06:49,"Aplikasi ini selalu eror ketika menetapkan foto profile, menghubungkan gopay dan menyimpan perubahan data ketika melengkapi profile. Tolong untuk segera diperbaiki",1
raihan alfareza,2024-02-08 14:30:49,"Ini gimana apk nya baru pertama kali download pas dibuka mlah ngestuck di flash screen udh gitu ga jalan2 gimana mau dipake😭😭 Mau ngasih 5 tp baru install aja ngestuck sya ksh 1 dehh Dvc: redmi note 11, Snapdragon 680 adreno 610, 4/128 (waktu buka available ram 1,5GB)",1
Supian Hadi,2024-02-08 23:27:49,Ok,5
Banon Luhur,2024-02-09 09:25:13,"Ga bisa di buka, tolong di perbaiki",1
rohmi japar,2024-02-09 23:18:43,Bagusan yang aplikasi yang lama KRL ACCES....cuma yang lama dah ga bs digunain ya...yang skrg ga asyeek....mohon ditingkatkan lagi...,3
Nur Hadiy,2024-02-10 05:35:43,"Gak guna aplikasi nya,untuk buka aplikasi nya aja sulit",1
A Profile,2024-02-10 14:18:27,Ni aplikasi dikit dikit ga bisa akses,3
Rita Atari,2024-02-10 15:05:20,"Sebenernya fiturnya sudah bagus dan membantu, tapi aplikasinya selalu lemot banget, loading lama, dan kadang nama stasiun nya gak ditemukan padahal sinyal lagi bagus. Mohon dikembangkan lagi ya.",3
Muhammad Nazril Taufik,2024-02-11 04:53:51,Tidak bisa di buka aplikasi nya,1
Tiara nandita,2024-02-11 05:40:45,Sudah sering di unsinstall karna saat dibuka layar depan mulu ngebug,1
Sabtiyo,2024-02-11 06:21:35,Aplikasinya milih milih hp,1
eLkribo kribo,2024-02-11 12:24:27,"Di stasiun Daru .Jadwal kereta yang ke Tanah Abang jam jarak nya jauh2 contoh jam 19.10 terus ada lagi jam 20.00,,jarak waktu nya jangan jauh2(kelamaan).. Tolong dong jarak jam nya dekat contoh seperti jam 19.10 ,jam 19.16.",1
Idk How,2024-02-12 12:20:31,"kadang suka lama banget buka apknya, bahkan gabisa dibuka, harus ganti ke data dulu, padahal wifi lanjay",4
Nurmayanti Rahayu,2024-02-12 14:19:36,Awal download kebuka pas udh di download ga kebuka sama sekali payah bngt apk nya nunggu bbrapa menit sampe 30 menitan ga kebuka buka,2
Maulana Yusuf,2024-02-14 13:23:46,"Loading lama, gua sumpahin bangkrut lu",1
Norman Mulyana,2024-02-14 16:48:24,"Tidak bisa login acount kenapa coba selalu ""yah, ada sedikit masalah""",1
Halim Himawan,2024-02-18 07:45:29,stuck di loading membuka app,1
ANDRIAN RAPON,2024-02-18 15:18:42,Terdaftar,1
Topik,2024-02-19 14:25:02,3 aja dulu soalnya ga bisa top up kmt Kira kira ada yg sama ga ya?? Dan kenapa ga bisa top up kmt ya??,3
Novitasari,2024-02-20 02:42:52,E-wallet nya cuma bisa gopay aja ya min?😂 Tambahin dong yg lain,4
Cecep Kuswandi,2024-02-22 03:56:20,Tidak dapat di akses,2
Hondablade Bekasiclub,2024-02-22 11:50:43,Apk masih lemot untuk masuk,1
Maulana Kurniawan,2024-02-26 13:40:23,Tidak bisa topup selalu gagal. Padahal ada menu top up kmt. Mohon di perbaiki dan info lebih lanjut nya. Supaya mempermudah,4
Iflah Hussein,2024-02-26 15:33:00,"Aplikasi cacat, top up gagalterus",1
Restoran Jakarta,2024-02-26 21:21:45,Gak mutu. Apk,1
M.Wahyu Anwar,2024-02-28 15:23:23,Apl ga berguna. Kabanyakan buff susah buat cek saldo atau topup,1
Yoga Mei Wantara,2024-03-01 06:54:20,Merepotkan. Cek dan isi saldo sering lost contact,3
arif Friyanda,2024-03-01 08:46:14,Malah ngk bisa top up saldo kmt setelah di perbarui... Error trus,2
Rifal Saputra,2024-03-01 13:51:56,Selalu gagal cek saldo kmt,2
Hidayatur Rachman,2024-03-01 17:43:00,Service unavailable. Niat hati mengisi ulang saldo apalah daya aplikasi tidak mendukung. Kalau seperti ini penggunaan aplikasi mobile bukan menjadi solusi justru menjadi masalah.,1
Dio Brando,2024-03-02 17:04:57,Sangat membantu,5
Alifa Alifaku,2024-03-02 19:57:12,Kenapa jadi ga bisa pesan tiket,3
Erlangga Dewantara,2024-03-03 04:35:08,Untuk top up KMT gagal terus,2
Ahmad Sulistiyanto,2024-03-03 05:07:01,Kadang sering error!,1
Abdul fatah,2024-03-03 12:09:31,Eror Mulu dari kemarin,1
apparus Sion,2024-03-03 15:04:27,"gak bisa dibuka, tidak bisa cek jadwal, sudah aplikasinya kacau, keretanya juga jadwalnya, sungguh kemunduran",1
Kyousuke Hasegawa,2024-03-04 12:05:02,"Tolong di bagian pengecekan diperbaiki lagi, seharusnya kalau bug nya semakin parah seperti ini jangan dilanjutkan ke tingkat Produksi -_- | UPDATE-1: hapus cache & data aplikasi gak bisa. Setelah instal ulang baru bisa, udah gitu langsung masuk ke akun saya tanpa login. Enak sih, tapi segi keamanan itu praktik yg buruk. UPDATE-2: coba lagi beberapa hari kemudian & loading lama baru ke home. Fungsi cek saldo gak berfungsi selalu invalid token, riwayat perjalanan jadi kosong. Cek saldo via topup",2
ghacoets,2024-03-04 14:16:15,Tidak bisa cek saldo invalid card tp klo cek pake aplikasi pembaca nfc lain bisa.tp di sini ngk bisa sama sx???,1
Novian Rifanto,2024-03-04 16:17:01,"Tadi nya bisa top up saldo,, sekarang malah ga bisa... Bangke aplikasi nya....,, jual mie ayam aja anda",1
Rizky Pandians,2024-03-05 07:05:28,Fitur top up via Nfc ga berfungsi,2
buyung hilmansyah,2024-03-05 10:28:46,Mau daftar aja ribet. Passwordnya hrs rumit jelimet. pdhl mah gk penting² amat. Gk usah lah telalu ribet. Toh bukan data vital kok.,2
Varinda Syahilla,2024-03-05 11:38:28,"mau isi kmt selalu unvaibel terus, kalo ga ntr ga ke detect kartunya padahal jaringan dll bagus. niat biar sat set malah bikin males aja. tolong diperbarui masalahnya ya",1
Ajeng Rahmat,2024-03-06 11:37:20,"gmn si, awalnya bs tp selanjutnya agak eror. perbaiki lagi dong! males bg antri kl buruburu",2
Li Bertus,2024-03-06 16:53:28,Aplikasi TOLOL,1
M Ramzi 050,2024-03-07 07:20:29,top up KMT sudah berhasil dan terbayar tapi saldo KMT gakeisi,1
Pradikha Pratama,2024-03-07 10:53:36,"Gabisa hubungin ke gopay,busuk",1
Wahyu black,2024-03-08 09:42:16,Membantu untuk atur jadwal,5
Wanz ID,2024-03-08 10:56:52,"error tiap NFC KMT, jadi ga bisa cek saldo atau top up",1
Andre Pahlevi,2024-03-08 11:59:17,"Gara gara aplikasi error dari jam 14.00, saya gagal berangkat dari Stasiun Balapan Solo ke ke Maguwoharjo, Jogja... Saya kecewa lah, tahu begini gak pesan di aplikasi ini",1
Rakha Ganesha,2024-03-08 13:09:13,sistem nya ga bagus masa ga bisa login,1
Literally Aim,2024-03-08 13:22:27,Aplikasi ngebug ga bisa cek jadwal,1
Muhammad Fathoni,2024-03-08 14:20:35,"Cek Saldo gak bisa, kartu gak ke detect, gopay ke link sendiri, topup gak bisa. Tolong di perbaiki lagi nih, berguna bgt buat pengguna aktif KRL soalnya",1
ひろなかわぬら,2024-03-08 16:46:50,"Sangat sulit jika ingin login gangguan terus , kacauu balauu",1
Dody Maryono,2024-03-08 21:00:27,Ga guna,1
Hesti Dwi Astuti,2024-03-09 08:21:55,"udh 2 hari gangguan, gabisa cek jadwal keberangkatan",1
Meta Aditya,2024-03-09 13:43:40,Gak bisa diakses dari tadi pagi,2
Suyadi Yadi,2024-03-09 16:39:07,Aplikasi gak bisa dipakai,1
Heru tirta Mulya,2024-03-09 21:34:37,"Aplikasi Sampah,aplikasi gak berguna",1
mufit Kurniawan,2024-03-09 22:27:17,Tolong diperbaiki untuk tiap update saldo unaivable,1
R i k a.,2024-03-09 23:48:00,"tolong lebih di perhatikan aplikasinya, masa mau daftar gangguan mulu dari kemarin""",2
Insan Deli,2024-03-10 04:30:31,Gak guna gak bisa daftar,1
Ainur Ridho,2024-03-10 05:07:44,APLIKASI SAMPAH GAK GUNA,1
irpan ependi,2024-03-10 05:41:19,Eror terus,1
ifachri 52,2024-03-10 10:46:36,"Udah daftar BERKALI² tapi selalu ada GANGGUAN mulu,padahal jaringan lagi bagus. tolong dong di perbaiki, kalo kaya gini terus bukan nya bikin praktis malah nyusahin.",1
Adhityo Firdaus Putra,2024-03-10 13:27:26,Adhityofirdausputra,5
rizky pratama,2024-03-10 14:01:50,Mau liat jadwal masih error aja sih. Guna dikit lah,1
Sapto Winarno,2024-03-10 22:06:10,susah bngt di bukanya,2
Ranti Laraswati,2024-03-10 22:54:26,Mau hubungkan dengan ewallet aja gak bisa2. Sebaiknya kasih juga metode pembayaran lain seperti via mbanking. Loading lambat sangat. Tolong perbaiki,3
Eno Eno Arbye,2024-03-11 02:34:31,Error udah hampir 5 hari Apa ini normal??,1
Aji Cahyono,2024-03-11 03:57:41,Apk nya bermasalah,1
Afsheen Mauri,2024-03-11 08:22:51,Informasi kurang tepat dibandingkan dengan aplikasi sebelumnya (KRL Accses),2
Herry Creator,2024-03-11 08:34:45,Setelah si update malah ga bisa di buka lagi.parah,1
Alya Meutia Nida,2024-03-11 09:04:35,Dih kenapa anjir error mulu,2
Tuhi Aziza,2024-03-11 12:23:45,Aplikasi error,1
Kukuh Napaki,2024-03-11 15:21:59,BOBROKKK,1
Isti Febriani,2024-03-11 23:12:20,"aplikasi sangat buruk, tolong perbaiki",2
Himejima Akeno,2024-03-12 11:20:20,Gak bisa daftar akun.. Gagal terus,1
carwiyah lengek,2024-03-12 13:32:57,"Perbaikan Mulu, parah aplikasinya, kacau",1
Untuk Puisiku,2024-03-12 16:08:50,Gaa jelass ngelegg mulu app nyaa,1
Muhamad Akbar,2024-03-12 21:31:21,aplikasi buruk,1
Lisa Damay,2024-03-12 23:53:01,Hadeuh aplikasi sering error. Mau cek jadwal berangkat aja susah.,2
Cut Hamidah,2024-03-13 02:52:48,Kenapa ga bisa bayar pake e wallet? Parah btul ini aplikasi,1
Andres Purnomo,2024-03-13 05:03:11,Ini aplikasi gangguan Mulu . Mau daftar gangguan niat pakai aplikasi gk sih,1
Hendry Alzabry,2024-03-13 05:07:24,Parah amat liat posisi sama jadwal kereta udh 3 hari ga bisa2,1
Angga Wahyu Saputra,2024-03-13 05:56:12,Sering gangguan,1
Budi Suryaman,2024-03-13 07:12:40,Erornya lammmma mulu,1
Ari Pratama,2024-03-13 07:42:05,Tolong segera di perbaiki,1
Dian Saputra,2024-03-13 12:14:22,Layanannya tidak bagus tolong diperbaiki lagi,1
Rizal Afif Pangestu,2024-03-13 13:05:32,Di update malah ngestak mulu,1
Bemby Alan,2024-03-13 21:43:23,"Bikin password aja ribet, hrs ada karakter spesial, diisi karakternya gabisa2.",1
DAMAN HIU,2024-03-14 04:16:16,kenapa gabisa di akses?????,1
S Novianto,2024-03-14 06:27:24,Gangguan terus.... Tidak bisa masuk....,1
Aldi Rizaldy,2024-03-14 11:27:07,Gangguan terus aneh!,1
rachmat susanto,2024-03-14 16:23:53,Aplikasi sampah ngecek jadwal aja g bisa,1
Aprilla Ayu,2024-03-14 22:56:55,"Aplikasi sering susah di akses. Trus tidak semua stasiun kereta commuter diperhatikan, contohnya stasiun Cibinong, toilet disana cuma ada 1 wanita & 2 pria. Padahal, wanita cenderung lebih sering buang air kecil, terutama bumil & lansia. Toilet nya juga yg jongkok & akses kesana tangga, sulit digunakan disabilitas & lansia. Selain itu peron cuma 1. Itu juga jaraknya tinggi sekali, setinggi lutut dewasa. Jelas menyulitkan disabilitas & lansia. Tolong, dong, diberikan perhatian lebih 🙏🏼",2
Putri ayu salsabila,2024-03-14 23:16:12,"astagaa udah berharj-hari gabisa dibuka loh, trs gmn nnti buat cek posisi sm jdwl kereta kl gbs dibuka? sblm di uninstall pemberitahuan nya eror, coba uninstall trs dwonload lg trnyta makin gbs mlh apk nya gbs dibuka. tolong perbaikannya.",2
Gemol Bontoh,2024-03-15 09:55:53,stasiun Nambo ga da,1
Lilis Riyanti,2024-03-15 13:36:10,Stlah di update malah log out dan gabisa log in,1
Christian Schouten,2024-03-16 00:15:36,"Ini kok di hp saya gak bisa dibuka ya? Kok gak kebuka ya? Dan saya udah berapa kali uninstall dan instal ulang, sama aja. Gak kebuka. Saya coba buka tulisannya ""ada masalah, coba beberapa saat lagi"" gitu, knp ya?",1
RudieDerma1,2024-03-16 10:27:22,Woi aplikasi apa ini.. Daftar aja g bisa.. Masukin email ngga valid mulu kata nya.. Padahal email yg dipake udah bener.. Ganti email yg kedua pun bgtu respon nya.. Developer nya sehat g nih.. Wkwkwkw,1
Penguasa Asia,2024-03-16 14:35:55,Gak Bisa Daftar akun,1
Ridwan Firdaus. M,2024-03-16 21:35:27,"Aplikasi error' udah 2 Minggu, gimana mau liat jadwal.!!!",2
Via Octaviana,2024-03-17 02:46:59,B U R U K,1
Arif Setyo Wibowo,2024-03-17 06:33:53,"Tolong untuk developer, mengapa? setelah topup , harus masih mencet tombol update dulu baru bisa masuk saldonya ? Pengalaman saya barusan, udah topup sukses dari Go-Jek, tapi belum pencet tombol update saldo. Saldo belum masuk. Lontong bang, soalnya keburu2 tadi saya itu semoga di-update ya bang. Tengs",5
Ridwan Sibungsu,2024-03-18 01:04:37,Lebih sering bermasalah kalau mau di gunakan,1
Maulida,2024-03-18 01:14:02,Sering banget eror payah,1
Fadlan Ramadhan,2024-03-18 01:21:36,"Bad aplikasi, sering banget errornya",1
Lusand Telehala,2024-03-18 03:18:39,Udah saya update kok tetap tidak bisa ya???,4
ACHMAD NUR SUWARGONO,2024-03-18 16:04:37,Error tidak bisa di buka aplikasi nya,1
Fajar Haerulloh,2024-03-18 17:57:40,"Apk dikit dikit eror gimana saya bisa sat set sat set, mohon di perbaiki lah",1
Puri Yogyantoro,2024-03-19 03:06:49,Sehabis update malah nda mau dibuka....,1
Deby Pramana,2024-03-19 22:45:57,"Ga bisa baca kartu setelah update,aneh,makin kesini makin kesana makin buruk pengembangan bukan berkembang malah semakin down.bug sama sini asli nyampah",1
Intan Hardiyanti,2024-03-20 14:20:40,"Ga guna, sering errors",1
Alvina Septianda Fardita,2024-03-20 14:20:59,"Mau masuk, eror terus",1
yuddie ichek,2024-03-20 16:12:56,Sering g bisa di buka,1
Firdaus,2024-03-21 01:38:16,Aplikasi ada di play store tapi tdk bisa dipakai buat apa bikin aplikasi 😌,1
Arsamin 90,2024-03-21 05:32:10,Apaaan apk ko gak pungsi,2
Yusnia Rahmania,2024-03-21 23:29:42,Akhirnya bisa juga update saldo buat kartu Ternyata harus di uninstall dulu Semoga bug kayak gini ga ada lagi ya karena ribet kalo lagi urgent butuh saldo,3
Dwiky Dharmawan,2024-03-22 10:37:32,Maintenance Mulu app nya. Sudah di buja,1
Riky Apriyadiman,2024-03-22 23:27:21,"Payah, nyari jadwal kereta dan stasiun aja gabisa",2
Herman Oyag,2024-03-23 16:01:22,Aplikasi yg selalu gangguan percuma dowdload,1
Muhamad Vito Ananta,2024-03-24 20:20:02,Sering susah di aksesnya,1
Solikin Sragen,2024-03-25 03:19:12,Gak bisa dibuka,1
Mardi junaedi,2024-03-25 09:55:50,Aplikasi yang selalu bermasah,1
Syaiful Herpian,2024-03-25 15:02:25,Error mulu gabisa login,1
Khoirun Nadia,2024-03-25 17:25:54,"Awal download sangat membantu, tapi kenapa sekarang malah gak bisa log in teruss. Ini karena hp saya yg susah sinyal atau emang dari aplikasinya yg kurang bagus. Udah sering instal dan uninstall tapi tetep kaya gitu terus. Tolong di perbaiki lagi",1
putrief eff,2024-03-26 08:43:30,error mulu,2
Ikii ajjahh,2024-03-27 02:06:56,"Ga bisa dibuka mulu, sering ada masalah... Terjadi kesalahan",1
Permata _,2024-03-27 12:40:14,"uang ilang grgr top up kartu di apk ini, pas nyampe stasiun kata petugas nya multitrip gabisa top up pake nfc. kan sebel lumayan jg ketarik tp ga bsa dipake alhasil ngisi lg 2x 😩",1
Putra Alfendo,2024-03-27 12:44:00,"Bagus ,",5
Grow Ther,2024-03-27 20:39:37,"Sumpah, makin lama makin ga jelas ni APK.. Kalo ga niat buat APK yg niat awalnya untuk mempermudah tapi hasilnya malah mempersulit lebih baik tutup aja APK nya.. Ga guna banget, dikit² error, dikit² terjadi kesalahan, ga bisa login, ga bisa cek saldo, mau liat jadwal kreta ga muncul² yg muncul malah notifikasi terjadi kesalahan Kan ga jelas.! Sekalian aja buat pemberitahuan di apk nya macam gini : "" Mohon Ma'af developer kami malas update dan tidak ingin melayani melalui aplikasi ini lagi """,1
Restu SF KUNINGAN,2024-03-27 23:19:37,"Apk nya jelek suka eror sendiri,tolong diperbaikin lah",1
Septiani Ayu Rosita,2024-03-28 07:50:39,"Baru kali ini rating aplikasi satu karena udah sekesel itu sama c-access. Bener-bener error mulu, gak bisa diakses. Kalo begitu mah mending krl access yang dulu deh walau tampilannnya jelek setidaknya gak error mulu kayak yang ini",1
